encoder:,TransformerCausal,taskModel:,taskC
student,step,attempt_file,next_file,actual_next,pred_prob,pred_label,ability_ST,ability_VA,ability_OP,ability_EX,ability_IO,ability_LI,ability_CO,ability_TU,ability_DI,ability_CD
46724,0,b_362_46724_1.py,c_362_46724_2.py,1,0.930680,1,0.987978,0.992961,0.991507,0.993300,0.970573,0.474927,0.985588,0.173304,0.386380,0.318390
46724,1,c_362_46724_2.py,b_371_46724_1.py,0,0.201552,0,0.902900,0.927276,0.936068,0.860384,0.375621,0.703690,0.930014,0.008164,0.195534,0.337494
46724,2,b_371_46724_1.py,b_371_46724_2.py,0,0.019533,0,0.911255,0.985528,0.987416,0.974540,0.926344,0.293045,0.980011,0.017540,0.121054,0.144658
46724,3,b_371_46724_2.py,c_371_46724_3.py,1,0.912198,1,0.961561,0.989463,0.986387,0.986013,0.967299,0.898436,0.989619,0.026552,0.110930,0.473179
46724,4,c_371_46724_3.py,b_406_46724_1.py,0,0.257981,0,0.690077,0.805421,0.837393,0.593358,0.657363,0.863809,0.867833,0.044759,0.299840,0.237107
46724,5,b_406_46724_1.py,c_406_46724_2.py,1,0.920754,1,0.806112,0.982393,0.971354,0.960223,0.934754,0.292910,0.968238,0.013496,0.065281,0.123923
46724,6,c_406_46724_2.py,b_417_46724_1.py,0,0.001656,0,0.629923,0.684983,0.742585,0.219742,0.182157,0.747423,0.781163,0.014045,0.269239,0.193041
46724,7,b_417_46724_1.py,b_417_46724_2.py,0,0.032777,0,0.882152,0.976056,0.981690,0.969395,0.925280,0.459942,0.987109,0.002485,0.195757,0.177855
46724,8,b_417_46724_2.py,b_417_46724_3.py,0,0.034953,0,0.899760,0.984778,0.976220,0.968064,0.944254,0.780901,0.978921,0.010202,0.088240,0.478564
46724,9,b_417_46724_3.py,b_417_46724_4.py,0,0.031590,0,0.780167,0.946200,0.944667,0.883193,0.788004,0.237111,0.953390,0.002562,0.184739,0.149996
46724,10,b_417_46724_4.py,b_417_46724_5.py,0,0.032891,0,0.878925,0.971074,0.951539,0.912422,0.894611,0.550400,0.978398,0.004057,0.531105,0.226845
46724,11,b_417_46724_5.py,b_417_46724_6.py,0,0.032724,0,0.871971,0.969392,0.974152,0.956275,0.920588,0.294806,0.980032,0.002527,0.336237,0.123369
46724,12,b_417_46724_6.py,b_417_46724_7.py,0,0.032424,0,0.799156,0.956418,0.959743,0.924316,0.885478,0.275882,0.969843,0.002410,0.174860,0.122162
46724,13,b_417_46724_7.py,b_417_46724_8.py,0,0.032927,0,0.802578,0.965026,0.964259,0.936366,0.903391,0.248381,0.957522,0.003796,0.103546,0.160186
46724,14,b_417_46724_8.py,b_417_46724_9.py,0,0.032655,0,0.891158,0.967246,0.958980,0.938758,0.902935,0.208652,0.976459,0.002724,0.301469,0.233941
46724,15,b_417_46724_9.py,b_417_46724_10.py,0,0.032243,0,0.777136,0.953342,0.968685,0.915000,0.883236,0.657553,0.966698,0.001913,0.115906,0.134938
46724,16,b_417_46724_10.py,b_417_46724_11.py,0,0.031343,0,0.786598,0.937925,0.950482,0.893469,0.772372,0.312717,0.943664,0.002153,0.148364,0.178461
46724,17,b_417_46724_11.py,b_417_46724_12.py,0,0.033163,0,0.894359,0.971658,0.963143,0.947739,0.918223,0.208756,0.977479,0.004282,0.296680,0.152882
46724,18,b_417_46724_12.py,c_417_46724_13.py,1,0.928688,1,0.923361,0.978654,0.923684,0.974045,0.973514,0.749284,0.942691,0.965043,0.459038,0.261789
46724,19,c_417_46724_13.py,b_449_46724_1.py,0,0.001822,0,0.683555,0.703026,0.762797,0.281505,0.220221,0.840879,0.787117,0.022657,0.274644,0.170202
46724,20,b_449_46724_1.py,b_449_46724_2.py,0,0.000669,0,0.850845,0.954544,0.940883,0.864085,0.860933,0.334164,0.962864,0.039204,0.531117,0.026649
46724,21,b_449_46724_2.py,b_449_46724_3.py,0,0.000473,0,0.730179,0.934272,0.936972,0.881297,0.845923,0.694495,0.940137,0.076416,0.088264,0.009840
46724,22,b_449_46724_3.py,b_449_46724_4.py,0,0.000982,0,0.837904,0.971960,0.959335,0.952506,0.942684,0.716896,0.977497,0.016744,0.173748,0.055524
46724,23,b_449_46724_4.py,b_449_46724_5.py,0,0.000500,0,0.755300,0.952764,0.951638,0.912655,0.931912,0.823583,0.945094,0.180860,0.179426,0.009466
