encoder:,LSTM,taskModel:,taskC
student,step,attempt_file,next_file,actual_next,pred_prob,pred_label,ability_ST,ability_VA,ability_OP,ability_EX,ability_IO,ability_LI,ability_CO,ability_TU,ability_DI,ability_CD
46724,0,b_362_46724_1.py,c_362_46724_2.py,1,0.787147,1,0.788888,0.809929,0.832787,0.829598,0.830844,0.420441,0.679698,0.208442,0.550942,0.606812
46724,1,c_362_46724_2.py,b_371_46724_1.py,0,0.082215,0,0.290573,0.723637,0.796878,0.777351,0.814307,0.440707,0.632777,0.040648,0.569958,0.579208
46724,2,b_371_46724_1.py,b_371_46724_2.py,0,0.073755,0,0.075978,0.638011,0.763413,0.724173,0.814281,0.550084,0.604874,0.011002,0.576370,0.550817
46724,3,b_371_46724_2.py,c_371_46724_3.py,1,0.167690,0,0.036697,0.614228,0.760457,0.719107,0.811208,0.704555,0.632113,0.006176,0.532169,0.492850
46724,4,c_371_46724_3.py,b_406_46724_1.py,0,0.230648,0,0.027752,0.618527,0.752126,0.727009,0.774305,0.822136,0.666062,0.005562,0.457310,0.430052
46724,5,b_406_46724_1.py,c_406_46724_2.py,1,0.496308,0,0.032087,0.640650,0.726890,0.731095,0.704699,0.893115,0.694668,0.006576,0.386129,0.388517
46724,6,c_406_46724_2.py,b_417_46724_1.py,0,0.259990,0,0.030352,0.635880,0.617664,0.707461,0.529922,0.920313,0.687194,0.011382,0.276777,0.367950
46724,7,b_417_46724_1.py,b_417_46724_2.py,0,0.013899,0,0.029781,0.613921,0.498186,0.671997,0.380811,0.925850,0.656785,0.020337,0.204733,0.376573
46724,8,b_417_46724_2.py,b_417_46724_3.py,0,0.010492,0,0.030271,0.595609,0.418489,0.649244,0.313941,0.918137,0.629312,0.032875,0.167628,0.402456
46724,9,b_417_46724_3.py,b_417_46724_4.py,0,0.010017,0,0.030494,0.581083,0.370613,0.639347,0.289870,0.905560,0.607502,0.048398,0.144101,0.434261
46724,10,b_417_46724_4.py,b_417_46724_5.py,0,0.011050,0,0.033294,0.570470,0.340951,0.633910,0.284722,0.893063,0.587410,0.067582,0.129006,0.460487
46724,11,b_417_46724_5.py,b_417_46724_6.py,0,0.013352,0,0.035291,0.562889,0.319931,0.632028,0.288749,0.882873,0.570571,0.090629,0.117529,0.483713
46724,12,b_417_46724_6.py,b_417_46724_7.py,0,0.016969,0,0.036782,0.558888,0.304097,0.631764,0.296635,0.875189,0.557002,0.116703,0.109538,0.502938
